gid,f_code,f_level,ocean,f_area,f_subarea,f_division,f_subdivis,f_subunit,sfp_identifier,name_en,name_es
216,27.2.a,DIVISION,Atlantic,27,27.2,27.2.a,,,FAO 27.2.a,Norwegian Sea (Division 27.2.a),Mar de Noruega (División 27.2.a)
217,27.2.b,DIVISION,Atlantic,27,27.2,27.2.b,,,FAO 27.2.b,Spitzbergen and Bear Island (Division 27.2.b),Spitzbergen e Islas Osos (División 27.2.b)
218,27.1.a,DIVISION,Atlantic,27,27.1,27.1.a,,,FAO 27.1.a,Barents Sea - NEAFC Regulatory Area (Division 27.1.a),Mar de Barents - CPANE (División 27.1.a)
219,27.14.a,DIVISION,Atlantic,27,27.14,27.14.a,,,FAO 27.14.a,Northeast Greenland (Division 27.14.a),Groenlandia nordoriental (División 27.14.a)
253,87.2.14,SUBDIVISION,Pacific,87,87.2,87.2.1,87.2.14,,FAO 87.2.14,87.2.14,87.2.14
254,87.2.25,SUBDIVISION,Pacific,87,87.2,87.2.2,87.2.25,,FAO 87.2.25,87.2.25,87.2.25
220,27.7.e,DIVISION,Atlantic,27,27.7,27.7.e,,,FAO 27.7.e,Western English Channel (Division 27.7.e),Canal de la Mancha occidental (División 27.7.e)
221,27.7.d,DIVISION,Atlantic,27,27.7,27.7.d,,,FAO 27.7.d,Eastern English Channel (Division 27.7.d),Canal de la Mancha oriental (División 27.7.d)
223,27.7.b,DIVISION,Atlantic,27,27.7,27.7.b,,,FAO 27.7.b,West of Ireland (Division 27.7.b),Oeste de Irlanda (División 27.7.b)
228,34.1.11,SUBDIVISION,Atlantic,34,34.1,34.1.1,34.1.11,,FAO 34.1.11,"Atlantic, East central / 34.1.11",Atl EC / 34.1.11
229,34.1.12,SUBDIVISION,Atlantic,34,34.1,34.1.1,34.1.12,,FAO 34.1.12,"Atlantic, East central / 34.1.12",Atl EC / 34.1.12
224,27.7.a,DIVISION,Atlantic,27,27.7,27.7.a,,,FAO 27.7.a,Irish Sea (Division 27.7.a),Mar de Irlanda (División 27.7.a)
225,27.4.a,DIVISION,Atlantic,27,27.4,27.4.a,,,FAO 27.4.a,Northern North Sea (Division 27.4.a),Mar del Norte septentrional (División 27.4.a)
227,27.3.a,DIVISION,Atlantic,27,27.3,27.3.a,,,FAO 27.3.a,Skagerrak and Kattegat (Division 27.3.a),"Skagerrak, Kattegat (División 27.3.a)"
234,34.3.12,SUBDIVISION,Atlantic,34,34.3,34.3.1,34.3.12,,FAO 34.3.12,"Atlantic, East central / 34.3.12",Atl EC / 34.3.12
236,87.1.11,SUBDIVISION,Pacific,87,87.1,87.1.1,87.1.11,,FAO 87.1.11,"Pacific, Southeast / 87.1.11","Pacific, Southeast / 87.1.11"
235,34.3.13,SUBDIVISION,Atlantic,34,34.3,34.3.1,34.3.13,,FAO 34.3.13,"Atlantic, East central / 34.3.13",Atl EC / 34.3.13
237,87.1.21,SUBDIVISION,Pacific,87,87.1,87.1.2,87.1.21,,FAO 87.1.21,"Pacific, Southeast / 87.1.21","Pacific, Southeast / 87.1.21"
238,87.1.22,SUBDIVISION,Pacific,87,87.1,87.1.2,87.1.22,,FAO 87.1.22,"Pacific, Southeast / 87.1.22","Pacific, Southeast / 87.1.22"
255,87.2.15,SUBDIVISION,Pacific,87,87.2,87.2.1,87.2.15,,FAO 87.2.15,87.2.15,87.2.15
239,87.1.12,SUBDIVISION,Pacific,87,87.1,87.1.1,87.1.12,,FAO 87.1.12,"Pacific, Southeast / 87.1.12","Pacific, Southeast / 87.1.12"
240,87.1.23,SUBDIVISION,Pacific,87,87.1,87.1.2,87.1.23,,FAO 87.1.23,"Pacific, Southeast / 87.1.23","Pacific, Southeast / 87.1.23"
241,87.1.13,SUBDIVISION,Pacific,87,87.1,87.1.1,87.1.13,,FAO 87.1.13,"Pacific, Southeast / 87.1.13","Pacific, Southeast / 87.1.13"
245,87.1.15,SUBDIVISION,Pacific,87,87.1,87.1.1,87.1.15,,FAO 87.1.15,"Pacific, Southeast / 87.1.15","Pacific, Southeast / 87.1.15"
246,87.2.21,SUBDIVISION,Pacific,87,87.2,87.2.2,87.2.21,,FAO 87.2.21,87.2.21,87.2.21
247,87.2.11,SUBDIVISION,Pacific,87,87.2,87.2.1,87.2.11,,FAO 87.2.11,87.2.11,87.2.11
248,87.2.22,SUBDIVISION,Pacific,87,87.2,87.2.2,87.2.22,,FAO 87.2.22,87.2.22,87.2.22
249,87.2.12,SUBDIVISION,Pacific,87,87.2,87.2.1,87.2.12,,FAO 87.2.12,87.2.12,87.2.12
250,87.2.23,SUBDIVISION,Pacific,87,87.2,87.2.2,87.2.23,,FAO 87.2.23,87.2.23,87.2.23
256,87.2.26,SUBDIVISION,Pacific,87,87.2,87.2.2,87.2.26,,FAO 87.2.26,87.2.26,87.2.26
261,87.3.11,SUBDIVISION,Pacific,87,87.3,87.3.1,87.3.11,,FAO 87.3.11,87.3.11,87.3.11
262,87.3.22,SUBDIVISION,Pacific,87,87.3,87.3.2,87.3.22,,FAO 87.3.22,87.3.22,87.3.22
263,87.3.23,SUBDIVISION,Pacific,87,87.3,87.3.2,87.3.23,,FAO 87.3.23,87.3.23,87.3.23
264,27.10.a.2,SUBDIVISION,Atlantic,27,27.10,27.10.a,27.10.a.2,,FAO 27.10.a.2,Azores Grounds Non-NEAFC Regulatory Area (Subdivision 27.10.a.2),Fondos de las Azores - Non-CPANE (Subdivisión 27.10.a.2)
265,27.10.a.1,SUBDIVISION,Atlantic,27,27.10,27.10.a,27.10.a.1,,FAO 27.10.a.1,Azores Grounds - Parts of the NEAFC Regulatory Area (Subdivision 27.10.a.1),Fondos de las Azores - Parte de CPANE (Subdivisión 27.10.a.1)
266,27.9.b.1,SUBDIVISION,Atlantic,27,27.9,27.9.b,27.9.b.1,,FAO 27.9.b.1,Portuguese Waters - West Parts in NEAFC Regulatory Area (Subdivision 27.9.b.1),Aguas Portuguesas - oeste - Partes de CPANE (Subdivisión 27.9.b.1)
267,27.9.b.2,SUBDIVISION,Atlantic,27,27.9,27.9.b,27.9.b.2,,FAO 27.9.b.2,Portuguese Waters - West Non-NEAFC Regulatory Area (Subdivision 27.9.b.2),Aguas Portuguesas - oeste Non-CPANE (Subdivisión 27.9.b.2)
268,58.4.4.a,SUBDIVISION,Indian,58,58.4,58.4.4,58.4.4.a,,FAO 58.4.4.a,Indian Antarctic 58.4.4.a,Ind Antar 58.4.4.a
269,58.4.4.b,SUBDIVISION,Indian,58,58.4,58.4.4,58.4.4.b,,FAO 58.4.4.b,Indian Antarctic 58.4.4.b,Ind Antar 58.4.4.b
270,87.3.12,SUBDIVISION,Pacific,87,87.3,87.3.1,87.3.12,,FAO 87.3.12,87.3.12,87.3.12
271,87.3.13,SUBDIVISION,Pacific,87,87.3,87.3.1,87.3.13,,FAO 87.3.13,87.3.13,87.3.13
272,58.4.3.b,SUBDIVISION,Indian,58,58.4,58.4.3,58.4.3.b,,FAO 58.4.3.b,Indian Antarctic 58.4.3.b,Ind Antar 58.4.3.b
273,58.4.3.a,SUBDIVISION,Indian,58,58.4,58.4.3,58.4.3.a,,FAO 58.4.3.a,Indian Antarctic 58.4.3.a,Ind Antar 58.4.3.a
274,27.8.e.1,SUBDIVISION,Atlantic,27,27.8,27.8.e,27.8.e.1,,FAO 27.8.e.1,West of Bay of Biscay - Parts in NEAFC Regulatory Area (Subdivision 27.8.e.1),Oeste del Golfo de Vizcaya - Partes de CPANE (Subdivisión 27.8.e.1)
275,27.8.d.1,SUBDIVISION,Atlantic,27,27.8,27.8.d,27.8.d.1,,FAO 27.8.d.1,Bay of Biscay - Offshore - Parts in NEAFC Regulatory Area (Subdivision 27.8.d.1),Golfo de Vizcaya - alta mar - Partes de CPANE (Subdivisión 27.8.d.1)
276,21.4.5.s,SUBDIVISION,Atlantic,21,21.4,21.4.V,21.4.5.s,,FAO 21.4.5.s,,
277,21.5.Z.e,SUBDIVISION,Atlantic,21,21.5,21.5.Z,21.5.Z.e,,FAO 21.5.Z.e,"Atlantic, Northwest / 21.5.Z.e",Atl NW / 21.5.Z.e
278,21.5.Z.w,SUBDIVISION,Atlantic,21,21.5,21.5.Z,21.5.Z.w,,FAO 21.5.Z.w,"Atlantic, Northwest / 21.5.Z.w",Atl NW / 21.5.Z.w
279,21.4.5.n,SUBDIVISION,Atlantic,21,21.4,21.4.V,21.4.5.n,,FAO 21.4.5.n,,
280,21.3.P.s,SUBDIVISION,Atlantic,21,21.3,21.3.P,21.3.P.s,,FAO 21.3.P.s,"Atlantic, Northwest / 21.3.P.s",Atl NW / 21.3.P.s
281,21.3.P.n,SUBDIVISION,Atlantic,21,21.3,21.3.P,21.3.P.n,,FAO 21.3.P.n,"Atlantic, Northwest / 21.3.P.n",Atl NW / 21.3.P.n
282,27.8.d.2,SUBDIVISION,Atlantic,27,27.8,27.8.d,27.8.d.2,,FAO 27.8.d.2,Bay of Biscay - Offshore Non-NEAFC Regulatory Area (Subdivision 27.8.d.2),Golfo de Vizcaya - alta mar Non-CPANE (Subdivisión 27.8.d.2)
283,27.7.j.1,SUBDIVISION,Atlantic,27,27.7,27.7.j,27.7.j.1,,FAO 27.7.j.1,Southwest of Ireland - East - Parts of the NEAFC Regulatory Area (Subdivision 27.7.j.1),Sudoeste de Irlanda - Este - Parte de CPANE (Subdivisión 27.7.j.1)
291,27.3.d.26,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.26,,FAO 27.3.d.26,Southern Central Baltic - East (Subdivision 27.3.d.26),Báltico centro-meridional - Este (Subdivisión 27.3.d.26)
284,27.7.k.1,SUBDIVISION,Atlantic,27,27.7,27.7.k,27.7.k.1,,FAO 27.7.k.1,Southwest of Ireland - West - Part of the NEAFC Regulatory Area (Subdivision 27.7.k.1),Sudoeste de Irlanda - Oeste - Parte de CPANE (Subdivisión 27.7.k.1)
285,27.7.k.2,SUBDIVISION,Atlantic,27,27.7,27.7.k,27.7.k.2,,FAO 27.7.k.2,Southwest of Ireland - West - Part of the Non-NEAFC Area I (Subdivision 27.7.k.2),Sudoeste de Irlanda - Oeste Non-CPANE (Subdivisión 27.7.k.2)
286,27.7.j.2,SUBDIVISION,Atlantic,27,27.7,27.7.j,27.7.j.2,,FAO 27.7.j.2,Southwest of Ireland - East Non-NEAFC Regulatory Area (Subdivision 27.7.j.2),Sudoeste de Irlanda - Este Non-CPANE (Subdivisión 27.7.j.2)
287,27.7.c.1,SUBDIVISION,Atlantic,27,27.7,27.7.c,27.7.c.1,,FAO 27.7.c.1,Porcupine Bank - NEAFC Regulatory Area (Subdivision 27.7.c.1),Porcupine Bank - CPANE (Subdivisión 27.7.c.1)
288,27.7.c.2,SUBDIVISION,Atlantic,27,27.7,27.7.c,27.7.c.2,,FAO 27.7.c.2,Porcupine Bank Non-NEAFC Regulatory Area (Subdivision 27.7.c.2),Porcupine Bank Non-CPANE (Subdivisión 27.7.c.2)
301,27.2.a.1,SUBDIVISION,Atlantic,27,27.2,27.2.a,27.2.a.1,,FAO 27.2.a.1,Norwegian Sea - NEAFC Regulatory Area (Division 27.2.a.1),Mar de Noruega - CPANE (División 27.2.a.1)
302,27.2.b.1,SUBDIVISION,Atlantic,27,27.2,27.2.b,27.2.b.1,,FAO 27.2.b.1,Spitzbergen and Bear Island - NEAFC Regulatory Area (Division 27.2.b.1),Spitzbergen e Islas Osos - CPANE (División 27.2.b.1)
303,27.2.b.2,SUBDIVISION,Atlantic,27,27.2,27.2.b,27.2.b.2,,FAO 27.2.b.2,Spitzbergen and Bear Island Non-NEAFC Regulatory Area (Division 27.2.b.2),Spitzbergen e Islas Osos Non-CPANE (División 27.2.b.2)
289,27.3.d.24,SUBDIVISION,Atlantic,27,27.3,27.3.d,27.3.d.24,,FAO 27.3.d.24,Baltic West of Bornholm (Subdivision 27.3.d.24),Báltico al oeste de Bornholm (Subdivisión 27.3.d.24)
290,27.3.b.23,SUBDIVISION,Atlantic,27,27.3,"27.3.b, c",27.3.b.23,,FAO 27.3.b.23,Sound (Subdivision 27.3.b.23),Sund (Subdivisión 27.3.b.23)
292,27.6.b.1,SUBDIVISION,Atlantic,27,27.6,27.6.b,27.6.b.1,,FAO 27.6.b.1,Rockall - Part of NEAFC area I (Subdivision 27.6.b.1),Rockall - Parte de CPANE (Subdivisión 27.6.b.1)
