fao_name,common_names,fda_name,taxocode,code_3a,order,family,genus,specific_descriptor
Australian spiny lobster,,,2290100115,LOA,Reptantia,Palinuridae,panulirus,cygnus
Axillary seabream,,,1703900803,SBA,Percoidei,Sparidae,Pagellus,acarne
Ayu sweetfish,,,1230301601,PCA,Salmoniformes,Plecoglossidae,Plecoglossus,altivelis
Azores chromis,,,1706202307,HZL,Percoidei,Pomacentridae,Chromis,limbata
Baird's slickhead,,,1231400701,ALC,Salmoniformes,Alepocephalidae,Alepocephalus,bairdii
Bali sardinella,,,1210501223,SAM,Clupeiformes,Clupeidae,Sardinella,lemuru
Ballan wrasse,,,1706300501,USB,Percoidei,Labridae,Labrus,bergylta
Ballyhoo halfbeak,,,1470300406,BAL,Beloniformes,Hemiramphidae,Hemiramphus,brasiliensis
Banana prawn,banana prawn,,2280100103,PBA,Natantia,Penaeidae,Penaeus,merguiensis
Banded carpet shell,,,3161100303,VNR,Bivalvia,Veneridae,Venerupis,rhomboides
Banded murex,,,3070200304,FNT,Gastropoda,Muricidae,Phyllonotus,trunculus
Banded whiptail,,,1480600515,CQF,Gadiformes,Macrouridae,Coelorinchus,fasciatus
,Barbo Ibérico,,1400233801,LWD,Cypriniformes,Cyprinidae,Luciobarbus,bocagei
Barcoo grunter,,,1700401002,QOF,Percoidei,Terapontidae,Scortum,barcoo
Barnacle,"Goose Barnacle, Gooseneck Barnacle, Leaf Barnacle",,2130500101,PCB,Thoracica,Pollicipedidae,Pollicipes,pollicipes
Barracudas nei,(multispecies),,17710001XX,BAR,Other Perciformes,Sphyraenidae,Sphyraena,spp.
Barramundi,Giant seaperch,,1700116701,GIP,Percoidei,Centropomidae,lates,calcarifer
Barred hogfish,,,1706311110,IVD,Percoidei,Labridae,Bodianus,scrofa
Barred sand bass,cabrilla,,1700240501,AXN,Perciformes,Serranidae,Paralabrax,nebulifer
Barrelfish,,,1760801504,HYW,"Stromateoidei, Anabantoidei",Centrolophidae,Hyperoglyphe,perciformis
Basking shark,,,1060100301,BSK,Lamniformes,Cetorhinidae,Cetorhinus,maximus
Bastard grunt,,,1703620918,BGR,Percoidei,Haemulidae,Pomadasys,incisus
Bastard halibut,,,1830804601,BAH,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus
Bastard sole,,,1830308104,MZT,Pleuronectiformes,Soleidae,Microchirus,theophila
Beaked redfish,,,1780100112,REB,Scorpaeniformes,Scorpaenidae,Sebastes,mentella
Bearded brotula,deepwater soapfish,,1580200502,BRD,Ophidiiformes,Ophidiidae,Brotula,barbata
Beluga,,,1170100501,HUH,Acipenseriformes,Acipenseridae,Huso,huso
Benguela hake,,,1480500408,HKB,Gadiformes,Merlucciidae,Merluccius,polli
,"Bering cisco, Lauretta whitefish",,"",FS-2012,Perciformes,Percidae,Coregonus,laurettae
Bermuda sea chub,,,1704703506,KYS,Percoidei,Kyphosidae,Kyphosus,sectatrix
Berryteuthis gonate squids nei,,,32114001XX,YTW,Cephalopoda,Gonatidae,Berryteuthis,spp
Big blue octopus,"Gros poulpe bleu, Day Octopus, Cyane's octopus",,3210900504,OQC,Octopoda,Octopodidae,Octopus,cyanea
Big-scale pomfret,,,1702700403,TAL,Percoidei,Bramidae,Taractichthys,longipinnis
Big-scale sand smelt,,,1630200301,ATB,Atheriniformes,Atherinidae,Atherina,boyeri
Bigeye picarel,,,1704007504,QZU,Percoidei,Centracanthidae,Spicara,alta
Bigeye scad,,,1702329101,BIS,Percoidei,Carangidae,Selar,crumenophthalmus
Bigeye thresher,,,1060600603,BTH,Lamniformes,Alopiidae,Alopias,superciliosus
Bigeye tuna,,,1750102612,BET,Scombroidei,Scombridae,thunnus,obesus
Bigeyes nei,(multispecies),,17011026XX,BIG,Percoidei,Priacanthidae,Priacanthus,spp.
Bigfin reef squid,Oval squid,,3210400702,UHL,Cephalopoda,Loliginidae,Sepioteuthis,lessoniana
Bighead carp,,,1400204302,BIC,Cypriniformes,Cyprinidae,Hypophthalmichthys,nobilis
Bighead tilefish,,,1701600101,ULA,Percoidei,Branchiostegidae,Caulolatilus,affinis
Bight redfish,"Golden Snapper, King Snapper, Nannygai",,1610201202,CXZ,Beryciformes,Berycidae,centroberyx,gerrardi
Bignose shark,,,1080201026,CCA,Carcharhiniformes,Carcharhinidae,Carcharhinus,altimus
Bigthorn skate,,,1100404201,JRE,Rajiformes,Rajidae,Rajella,barnardi
Birdbeak dogfish,,,1090101401,DCA,Squaliformes,Squalidae,Deania,calcea
Black ark,,,3160407112,NQT,Bivalvia,Arcidae,Anadara,tuberculosa
Black cardinal fish,,,1709637301,EPI,Percoidei,Epigonidae,Epigonus,telescopus
Black carp,,,1400214401,BKC,Cypriniformes,Cyprinidae,Mylopharyngodon,piceus
Black drum,,,1703721002,BDM,Percoidei,Sciaenidae,pogonias,cromis
Black goby,,,1732100303,GBN,Gobioidei,Gobiidae,Gobius,niger
Black grouper,,,1700204001,MAB,Percoidei,Serranidae,mycteroperca,bonaci
Black marlin,,,1750300507,BLM,Scombroidei,Istiophoridae,Makaira,indica
Black oreo,,,1620400701,BOE,Zeiformes,Oreosomatidae,allocyttus,niger
