fao_name,common_names,fda_name,taxocode,code_3a,order,family,genus,specific_descriptor
Crevalle jack,,,1702304429,CVJ,Percoidei,Carangidae,Caranx,hippos
Crimson jobfish,"Crimson snapper, Pink snapper, Opakapaka, Rosy snapper",,1703221702,PFM,Percoidei,Lutjanidae,pristipomoides,filamentosus
Crimson snapper,Red snapper,,1703202704,LJT,Percoidei,Lutjanidae,lutjanus,erythropterus
,Croakers nei (multispecies),,17037561XX,NHX,Percoidei,Sciaenidae,Pennahia,spp.
Crocodiles and alligators nei,(multispecies),,53601XXXXX,CRO,Crocodilia,Crocodylidae,"",""
Crucian carp,,,1400201601,FCC,Cypriniformes,Cyprinidae,Carassius,carassius
,Crystal crab,,"",FS-500,Decapoda,Geryonidae,Chaceon,albus
Crystal goby,,,1732103101,YTN,Gobioidei,Gobiidae,Crystallogobius,linearis
Crystal shrimp,"camarón cristal, camarón pink",,2280100123,CSP,Natantia,Penaeidae,Penaeus,brevirostris
Cuata swimcrab,Arched swimming crab,,2311101212,KLU,Brachyura,Portunidae,Callinectes,arcuatus
Cuckoo ray,"Cuckoo Skate, Pudding, Stars, Crownback",,1100400110,RJN,Rajiformes,Rajidae,Leucoraja,naevus
Cuckoo wrasse,,,1706300505,USI,Percoidei,Labridae,Labrus,mixtus
Cupped oysters nei,,,31607008XX,OYC,Bivalvia,Ostreidae,Crassostrea,spp.
Curled picarel,,,1704051501,EHI,Percoidei,Centracanthidae,Centracanthus,cirrus
Curlfin sole,,,1830205902,NYD,Pleuronectiformes,Pleuronectidae,pleuronichthys,decurrens
Curvespine cuttlefish,,,3210200231,IAE,Cephalopoda,Sepiidae,Sepia,recurvirostra
Cusk-eels nei,Cusk-eels nei,,15802001XX,CEX,Ophidiiformes,Ophidiidae,Genypterus,spp
Cuttlefishes nei,,,32102002XX,IAX,Cephalopoda,Sepiidae,sepia,spp.
Cyprinids nei,(multispecies),,14002XXXXX,FCY,Cypriniformes,Cyprinidae,"",""
Daggertooth pike conger,,,1430901102,DPC,Anguilliformes,Muraenesocidae,Muraenesox,cinereus
Danube sturgeon,Russian sturgeon,,1170100102,APG,Acipenseriformes,Acipenseridae,Aceipenser,gueldenstaedtii
Dark moray,,,1430600424,AWG,Anguilliformes,Muraenidae,Gymnothorax,afer
Darwin's slimehead,,,1610500101,GXW,Beryciformes,Trachichthyidae,Gephyroberyx,darwinii
Dealfish,,,1520400203,TPA,Lampriformes,Trachipteridae,Trachipterus,arcticus
Deep water sole,,,1830300203,YMW,Pleuronectiformes,Soleidae,Bathysolea,profundicola
Deep-sea mud shrimp,,,2282907207,SXT,Natantia,Solenoceridae,solenocera,hextii
,Deep-sea pandalid shrimp,,,FS-2146,Decapoda,Pandalidae,Heterocarpus,chani
Deep-water Cape hake,,,1480500410,HKO,Gadiformes,Merlucciidae,merluccius,paradoxus
Deep-water flathead,Deepwater flathead,,1780901806,FTL,Scorpaeniformes,Platycephalidae,platycephalus,conatus
Deep-water rose shrimp,,,2280101701,DPS,Natantia,Penaeidae,Parapenaeus,longirostris
Deepbody boarfish,,,1620300801,ZAC,Zeiformes,Caproidae,Antigonia,capros
Deepwater longtail red snapper,"Long-tail red snapper, Onaga",,1703214004,ETC,Percoidei,Lutjanidae,Etelis,coruscans
Devil anglerfish,,,1950100106,MVO,Lophiiformes,Lophiidae,Lophius,vomerinus
Devil fish,,,1100801007,RMM,Rajiformes,Mobulidae,Mobula,mobular
Devis' anchovy,,,1210600701,END,Clupeiformes,Engraulidae,encrasicholina,devisi
Dog shrimp,dog prawn,,2280101908,NAH,Natantia,Penaeidae,parapenaeopsis,hungerfordi
Dogtooth grouper,,,1700204232,EFJ,Perciformes,Serranidae,Epinephelus,caninus
Dombey's tagelus,Hard razor clam,,3164000201,TGZ,Cardiida,Solecurtidae,Tagelus,dombeii
Dot-dash grouper,Dot-dash rockcod,,1700204279,EWP,Percoidei,Serranidae,Epinephelus,poecilonotus
Dotterel filefish,,,1900900303,AVH,Tetraodontiformes,Monacanthidae,Aluterus,heudelotii
Dover sole,,,1830204503,MIP,Pleuronectiformes,Pleuronectidae,microstomus,pacificus
Dragonet,,,1772000301,LYY,Other Perciformes,Callionymidae,Callionymus,lyra
Dungat grouper,,,1700204234,EEG,Percoidei,Serranidae,Epinephelus,goreensis
Dungeness crab,,,2310901004,DUN,Brachyura,Cancridae,cancer,magister
Dusky Rockfish,Dusky Rockfish,,1780100137,RVC,Scorpaeniformes,Scorpaenidae,Sebastes,ciliatus
Dusky grouper,,,1700204201,GPD,Percoidei,Serranidae,Epinephelus,marginatus
Dusky shark,,,1080201016,DUS,Carcharhiniformes,Carcharhinidae,Carcharhinus,obscurus
Duskytail grouper,,,1700204253,EFK,Percoidei,Serranidae,Epinephelus,bleekeri
Dwarf bobtail squid,,,3210303901,CTR,Cephalopoda,Sepiolidae,Sepiola,rondeleti
Dwarf oyster,,,3160701101,QOS,Bivalvia,Ostreidae,Ostreola,stentina
Eastern Pacific bonito,South Pacific bonito,,1750100104,BEP,Perciformes,Scombridae,Sarda,chiliensis chiliensis
,Ebro barbel,,1400233806,BUG,Cypriniformes,Cyprinidae,Luciobarbus,graellsii
Edible crab,Brown crab,,2310901006,CRE,Brachyura,Cancridae,Cancer,pagurus
Egyptian sole,,,1830300715,EGY,Pleuronectiformes,Soleidae,Solea,aegyptiaca
Elegant cuttlefish,,,3210200204,EJE,Cephalopoda,Sepiidae,Sepia,elegans
Elongate frostfish,,,1750600201,BDL,Scombroidei,Trichiuridae,Benthodesmus,elongatus
Emerald wrasse,,,1706306502,JCN,Percoidei,Labridae,Centrolabrus,trutta
,Emperor fishes nei (multispecies),,17038172XX,LZX,Percoidei,Lethrinidae,lethrinus,spp.
Emperor red snapper,Red snapper,,1703202714,LUB,Percoidei,Lutjanidae,lutjanus,sebae
Endeavour shrimp,"Endeavor shrimp, blue endeavor prawn",,2280101606,ENS,Natantia,Penaeidae,metapenaeus,endeavouri
English sole,,,1830200415,RFE,Pleuronectiformes,Pleuronectidae,pleuronectes,vetulus
Ensis razor clams nei,Razor clams,,31616005XX,EQX,Bivalvia,Solenidae,ensis,spp.
Escolar,,,1750500501,LEC,Scombroidei,Gempylidae,lepidocybium,flavobrunneum
European anchovy,,,1210600201,ANE,Clupeiformes,Engraulidae,Engraulis,encrasicolus
European barracuda,,,1771000101,YRS,Other Perciformes,Sphyraenidae,Sphyraena,sphyraena
European common squid,,,3210401301,OUL,Cephalopoda,Loliginidae,Alloteuthis,subulata
European conger,,,1431300101,COE,Anguilliformes,Congridae,Conger,conger
European edible sea urchin,,,6930401401,URS,Echinoidea,Echinidae,Echinus,esculentus
European eel,,,1430200201,ELE,Anguilliformes,Anguillidae,Anguilla,anguilla
European flat oyster,,,3160700205,OYF,Bivalvia,Ostreidae,ostrea,edulis
European flounder,,,1830204802,FLE,Pleuronectiformes,Pleuronectidae,platichthys,flesus
European flying squid,,,3210505801,SQE,Cephalopoda,Ommastrephidae,Todarodes,sagittatus
European hake,,,1480500401,HKE,Gadiformes,Merlucciidae,Merluccius,merluccius
European lobster,,,2294200718,LBE,Reptantia,Nephropidae,homarus,gammarus
European perch,"Eurasian perch, perch",,1701400201,FPE,Percoidei,Percidae,Perca,fluviatilis
European pilchard,"Sardine, European sardine",,1210506401,PIL,Clupeiformes,Clupeidae,Sardina,pilchardus
European plaice,,,1830200405,PLE,Pleuronectiformes,Pleuronectidae,pleuronectes,platessa
European prickly cockle,,,3162300102,AKJ,Bivalvia,Cardiidae,Acanthocardia,echinata
European razor clam,,,3161600302,RAE,Bivalvia,Solenidae,Solen,marginatus
European seabass,,,1700634503,BSS,Percoidei,Moronidae,Dicentrarchus,labrax
European smelt,,,1230400301,SME,Salmoniformes,Osmeridae,Osmerus,eperlanus
European sprat,,,1210506601,SPR,Clupeiformes,Clupeidae,Sprattus,sprattus
European squid,,,3210400109,SQR,Cephalopoda,Loliginidae,loligo,vulgaris
European whitefish,,,1231200102,PLN,Salmoniformes,Coregonidae,coregonus,lavaretus
Falkland sprat,Sardina austral,,1210506602,FAS,Clupeiformes,Clupeidae,Sprattus,fuegensis
False abalone,Chilean abalone,,3070202301,SNE,Neogastropoda,Muricidae,Concholepas,concholepas
False catshark,,,1080502801,PTM,Carcharhiniformes,Pseudotriakidae,Pseudotriakis,microdon
False scad,,,1702304442,HMY,Percoidei,Carangidae,Caranx,rhonchus
,Falso halibut sudamericano,,1830804612,YSV,Pleuronectiformes,Paralichthyidae,Paralichthys,isosceles
Fangtooth moray,,,1430600903,AWM,Anguilliformes,Muraenidae,Enchelycore,anatina
Ferrer's goby,,,1732102701,EDE,Gobioidei,Gobiidae,Pseudaphya,ferreri
Fine clam,,,3161109701,NWP,Bivalvia,Veneridae,Transennella,pannosa
Fine flounder,,,1830804610,RIE,"",Paralichthyidae,Paralichthys,adspersus
Finescale triggerfish,,,1901000204,BIY,Tetraodontiformes,Balistidae,Balistes,polylepis
Fivebeard rockling,,,1480402901,LCM,Gadiformes,Gadidae,Ciliata,mustela
,"Flat periwinkle, Yellow periwinkle",,"",FS-251,Littorinimorpha,Littorinidae,Littorina,obtusata
Flathead flounder,,,1830201403,HGD,Pleuronectiformes,Pleuronectidae,hippoglossoides,dubius
Flathead grey mullet,Mullet,,1650100102,MUF,Mugiliformes,Mugilidae,mugil,cephalus
Flathead lobsters nei,,,22915005XX,TVX,Reptantia,Scyllaridae,Thenus,spp
Flathead sole,,,1830201404,FTS,Pleuronectiformes,Pleuronectidae,hippoglossoides,elassodon
Flinders' sillago,Eastern School Whiting,,1701523306,ILQ,Percoidei,Sillaginidae,sillago,flindersi
Florida pompano,Pompano,,1702304703,POM,Percoidei,Carangidae,trachinotus,carolinus
Flying gurnard,,,1782400201,DYL,Scorpaeniformes,Dactylopteridae,Dactylopterus,volitans
Flying squids nei,,,32105003XX,OMM,Cephalopoda,Ommastrephidae,Ommastrephes,spp
Flyingfishes nei,(multispecies),,14704XXXXX,FLY,Beloniformes,Exocoetidae,"",""
,"Fork-tailed threadfin bream, Rosy threadﬁn bream",,"",FS-425,Perciformes,Nemipteridae,Nemipterus,furcosus
Forkbeard,,,1480400602,FOR,"",Phycidae,Phycis,phycis
Four-spot megrim,,,1830500302,LDB,Pleuronectiformes,Scophthalmidae,lepidorhombus,boscii
Fourbeard rockling,,,1480404101,ENC,Gadiformes,Gadidae,Enchelyopus,cimbrius
Foureyed sole,,,1830308102,MRK,Pleuronectiformes,Soleidae,Microchirus,ocellatus
Frigate and bullet tunas,"(multispecies), botellas",,17501023XX018,FRZ,Scombroidei,Scombridae,Auxis,spp.
Frigate tuna,,,1750102301,FRI,Scombroidei,Scombridae,Auxis,thazard
Frilled shark,,,1050100101,HXC,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,anguineus
Frogs,,,51201001XX,FRG,Anura,Ranidae,Rana,spp.
Fusca drum,,,1703707010,UMO,Percoidei,Sciaenidae,Umbrina,ronchus
Fusiliers nei,,,17000XXXXX,CJX,Percoidei,Caesionidae,"",""
Gafftopsail sea catfish,,,1410203702,BEM,"","",Bagre,marinus
Gag, grouper,,1700204004,MKM,Percoidei,Serranidae,mycteroperca,microlepis
Galapagos shark,,,1080201027,CCG,Carcharhiniformes,Carcharhinidae,Carcharhinus,galapagensis
Ganges River sprat,,,1210502801,CLK,Clupeiformes,Clupeidae,Corica,soborna
Gangetic mystus,,,1410805402,BMC,Siluriformes,Bagridae,Mystus,cavasius
Garfish,,,1470100101,GAR,Beloniformes,Belonidae,Belone,belone
Gay's little venus,,,3161102401,TWG,Bivalvia,Veneridae,Tawera,gayi
Gazami crab,Horse crab,,2311100404,GAZ,Brachyura,Portunidae,portunus,trituberculatus
Geelbek croaker,,,1703710801,AWE,Percoidei,Sciaenidae,Atractoscion,aequidens
Ghanian tonguesole,,,1830403121,YQF,Pleuronectiformes,Cynoglossidae,Cynoglossus,cadenati
Giant atlantic cockle,,,3162300501,DKR,Bivalvia,Cardiidae,Dinocardium,robustum
Giant gelidium,,,7872600201,GEQ,Rhodophyceae,Gelidiaceae,Gelidium,corneum
Giant grouper,Giant grouper,,1700204208,EEN,Perciformes,Epinephelidae,Epinephelus,lanceolatus
Giant jackknife,Razor clam,,3161600504,EQH,Bivalvia,Solenidae,Ensis,macha
Giant red shrimp,Red prawn ,,2280203001,ARS,Natantia,Aristaeidae,aristaeomorpha,foliacea
Giant river prawn,,,2281202307,PRF,Natantia,Palaemonidae,Macrobrachium,rosenbergii
Giant stargazer,,,1721348401,STZ,Trachinoidei,Uranoscopidae,kathetostoma,giganteum
Giant swimcrab,,,2311101206,CRC,Brachyura,Portunidae,callinectes,toxotes
Giant tiger prawn,,,2280100112,GIT,Natantia,Penaeidae,Penaeus,monodon
Gilthead seabream,,,1703923508,SBG,Percoidei,Sparidae,Sparus,aurata
Glasseye,,,1701100101,HTU,Percoidei,Priacanthidae,Heteropriacanthus,cruentatus
Gloomy octopus,common Sydney octopus,,3210900502,OKE,Octopoda,Octopodidae,Octopus,tetricus
Goatfishes,,,17041251XX,GOX,Percoidei,Mullidae,upeneus,spp.
"Goatfishes, red mullets nei",(multispecies),,17041XXXXX,MUM,Percoidei,Mullidae,"",""
Gold-spot octopus,,,3210900527,OFY,Cephalopoda,Octopodidae,Amphioctopus,fangsiao
Goldblotch grouper,,,1700204258,EPK,Percoidei,Serranidae,Epinephelus,costae
Golden callista,Megapitaria aurantiaca,,3161101801,EGA,Bivalvia,Veneridae,Megapitaria,aurantiaca
Golden carpet shell,,,3161100302,VNA,Bivalvia,Veneridae,Venerupis,aurea
Golden grey mullet,,,1650101203,MGA,Mugiliformes,Mugilidae,Liza,aurata
Golden king crab,,,2302007005,KAQ,Anomura,Lithodidae,Lithodes,aequispinus
Golden perch,,,1700830102,MCA,Percoidei,Percichthyidae,macquaria,ambigua
Golden redfish,,,1780100101,REG,Scorpaeniformes,Scorpaenidae,Sebastes,norvegicus
Golden shrimp,,,2280403201,LKT,Natantia,Pandalidae,Plesionika,martia
,Goldeye,,,FS-2025,Osteoglossiformes,Hiodontidae,Hiodon,alosoides
Goldsinny-wrasse,,,1706306901,TBR,Percoidei,Labridae,Ctenolabrus,rupestris
Goldstripe sardinella,,,1210501203,SAG,Clupeiformes,Clupeidae,sardinella,gibbosa
Goolwa donax,,,3161500219,DNE,Bivalvia,Donacidae,donax,deltoides
Gouramis nei,Grouramis nei,,17610013XX,GOM,"Stromateoidei, Anabantoidei",Belontiidae,Trichogaster,spp.
Graceful shark,Queensland shark,,1080201002,CCY,Carcharhiniformes,Carcharhinidae,carcharhinus,amblyrhynchoides
Grass carp,,,1400203501,FCG,Cypriniformes,Cyprinidae,Ctenopharyngodon,idellus
Greasy grouper,,,1700204219,EPT,Percoidei,Serranidae,Epinephelus,tauvina
Greasyback shrimp,red endeavor prawn ,,2280101609,MPE,Natantia,Penaeidae,metapenaeus,ensis
Great Atlantic scallop,King scallop,,3160800309,SCE,Bivalvia,Pectinidae,Pecten,maximus
Great Mediterranean scallop,,,3160800311,SJA,Bivalvia,Pectinidae,Pecten,jacobaeus
Great Northern tilefish,Golden tilefish,,1701640002,TIL,Percoidei,Branchiostegidae,lopholatilus,chamaeleonticeps
Great lanternshark,,,1090101005,ETR,Squaliformes,Squalidae,Etmopterus,princeps
Great sandeel,,,1720400602,YEZ,Trachinoidei,Ammodytidae,Hyperoplus,lanceolatus
Greater amberjack,,,1702304801,AMB,Percoidei,Carangidae,seriola,dumerili
Greater argentine,Greater silver smelt,,1230501503,ARU,Salmoniformes,Argentinidae,argentina,silus
Greater forkbeard,,,1480400601,GFB,Gadiformes,Gadidae,phycis,blennoides
Greater weever,,,1721201002,WEG,Trachinoidei,Trachinidae,Trachinus,draco
Green crab,,,2311109001,CRG,Brachyura,Portunidae,Carcinus,maenas
Green jobfish,"Gray snapper, uku, jobfish",,1703210001,AVR,Percoidei,Lutjanidae,aprion,virescens
Green mussel,"Jadeite mussel, Asian ",,3161003202,MSV,Bivalvia,Mytilidae,perna,viridis
,"Green sea urchin, Northern sea urchin",,6930200404,UYD,Echinoidea,Strongylocentrotidae,strongylocentrotus,droebachiensis
Green seaweeds,,,741XXXXXXX,SWG,Chlorophyceae,,,
Green shrimp,,,2280400101,HLQ,Natantia,Pandalidae,Chlorotocus,crassicornis
Green spiny lobster,,,2290100116,NUG,Reptantia,Palinuridae,Panulirus,gracilis
Green tiger prawn,grooved tiger prawn    ,,2280100120,TIP,Natantia,Penaeidae,penaeus,semisulcatus
Green weakfish,"Seatrout, Corvina",,1703701618,YNV,Percoidei,Sciaenidae,Cynoscion,virescens
Green wrasse,,,1706300507,WRV,Percoidei,Labridae,Labrus,viridis
Greenback horse mackerel,Jack mackerel ,,1702300415,HMG,Percoidei,Carangidae,trachurus,declivis
Greenfin horse-faced filefish,,,1900902503,KSE,Tetraodontiformes,Monacanthidae,Thamnaconus,septentrionalis
Greenland cod,,,1480400212,GRC,Gadiformes,Gadidae,Gadus,ogac
Greenland halibut,Greenland turbot (US-Canada),,1830200501,GHL,Pleuronectiformes,Pleuronectidae,reinhardtius,hippoglossoides
Greenland shark,,,1090100201,GSK,Squaliformes,Squalidae,Somniosus,microcephalus
Greenland smoothcockle,,,3162301601,QRG,Bivalvia,Cardiidae,Serripes,groenlandicus
Grenadiers nei,,,14806001XX,GRV,Gadiformes,Macrouridae,Macrourus,spp
Grey gurnard,,,1780207001,GUG,Scorpaeniformes,Triglidae,Eutrigla,gurnardus
Grey snapper,"Gray snapper, Mangrove snapper",,1703202728,LJI,Percoidei,Lutjanidae,lutjanus,griseus
Grey tilefish,Grey Tilefish,,1701600102,ULM,"","",Caulolatilus,microps
Grey triggerfish,"Triggerfish, Baliste, Cangulo",,1901000201,TRG,Tetraodontiformes,Balistidae,Balistes,capriscus
Grey wrasse,,,1706338701,YFC,Percoidei,Labridae,Symphodus,cinereus
,Grimald's nylon shrimp,,2280400514,HVQ,Natantia,Pandalidae,Heterocarpus,grimaldii
Grooved carpet shell,Clam,,3161102001,CTG,Bivalvia,Veneridae,ruditapes,decussatus
Groupers nei,(multispecies),,17002042XX,GPX,Percoidei,Serranidae,epinephelus,spp.
"Groupers, seabasses nei",(multispecies),,17002XXXXX,BSX,Percoidei,Serranidae,"",""
Guinea shrimp,,,2280101902,GUS,Natantia,Penaeidae,Parapenaeopsis,atlantica
Guinea striped shrimp,,,2280403209,EKW,Natantia,Pandalidae,Plesionika,williamsi
Guinean amberjack,,,1702304809,RLR,Percoidei,Carangidae,Seriola,carpenteri
Guinean parrotfish,,,1706505613,UVB,Percoidei,Scaridae,Scarus,hoefleri
Guinean sole,Guinean sole,,1830303606,YNY,Pleuronectiformes,Soleidae,Synaptura,cadenati
Gulf menhaden,,,1210502404,MHG,Clupeiformes,Clupeidae,Brevoortia,patronus
Gulf weakfish,Gulf corvina,,1703701611,YNO,Percoidei,Sciaenidae,Cynoscion,othonopterus
Gulper shark,,,1090100801,GUP,Squaliformes,Squalidae,Centrophorus,granulosus
Gulper sharks nei,,,10901008XX,CWO,Squaliformes,Squalidae,Centrophorus,spp
Gummy shark,,,1080400701,CTU,Carcharhiniformes,Triakidae,mustelus,antarcticus
Guntea loach,,,1400502001,LEG,Cypriniformes,Cobitidae,Lepidocephalichthys,guntea
Günther's grenadier,,,1480600402,CNK,Gadiformes,Macrouridae,Coryphaenoides,guentheri
Gurnards nei,,,17802002XX,GUY,Scorpaeniformes,Triglidae,Trigla,spp
"Gurnards, searobins nei","Gurnards (multispecies), searobins nei",,17802XXXXX,GUX,Scorpaeniformes,Triglidae,"",""
Haddock,,,1480401001,HAD,Gadiformes,Gadidae,melanogrammus,aeglefinus
Haifa grouper,,,1700204262,EEI,Percoidei,Serranidae,Epinephelus,haifensis
Hakes nei,,,14805004XX,HKX,Gadiformes,Merlucciidae,Merluccius,spp
Half-striated donax,,,3161500215,DXQ,Bivalvia,Donacidae,Donax,semistriatus
Hammerhead sharks nei,(multispecies),,10803005XX,SPN,Carcharhiniformes,Sphyrnidae,Sphyrna,spp.
Hapuka,(multispecies),,17005058XX,HAU,Percoidei,Polyprionidae,Polyprion,spp.
Hapuku wreckfish,,,1700505802,WHA,Percoidei,Polyprionidae,Polyprion,oxygeneios
Hard clams nei,,,31611017XX,HCX,Bivalvia,Veneridae,Meretrix,spp.
Hardenberg's anchovy,Golden anchovy,,1210605005,ESN,Clupeiformes,Engraulidae,stolephorus,insularis
Harpoon seaweeds,,,78725003XX,ASR,Rhodophyceae,Bonnemaisoniaceae,Asparagopsis,spp
Hebrew moon-shell,,,3071700201,NKH,Gastropoda,Naticidae,Naticarius,hebraeus
Henslow’s swimming crab,,,2311120001,QPH,Brachyura,Portunidae,Polybius,henslowii
Hogfish,Boquinete,,1706316401,LCX,Percoidei,Labridae,lachnolaimus,maximus
,Holothuria sea cucumbers nei,,69401003XX,WBX,Holothuroidea,Holothuriidae,Holothuria,spp
Horned octopus,Lesser octopus,,3210902401,EOI,Cephalopoda,Octopodidae,Eledone,cirrhosa
,"Hubb's octopus, pulpo verde",,,FS-2106,"","",Octopus,hubbsorum
Humpback nylon shrimp,,,2280400504,HKJ,Natantia,Pandalidae,Heterocarpus,gibbosus
Hymenopenaeus shrimps nei,,,22829007XX,HZM,Natantia,Solenoceridae,Hymenopenaeus,spp
,Iberian barbel,,1400233802,LWK,Cypriniformes,Cyprinidae,Luciobarbus,comizo
Iberian nase,,,1400201403,HOY,Cypriniformes,Cyprinidae,Chondrostoma,polylepis
Iceland scallop,,,3160803603,ISC,Bivalvia,Pectinidae,chlamys,islandica
Imperial blackfish,,,1760800302,HDV,"Stromateoidei, Anabantoidei",Centrolophidae,Schedophilus,ovalis
Imperial scaldfish,,,1830100103,RLI,Pleuronectiformes,Bothidae,Arnoglossus,imperialis
Indian Ocean lobsterette,,,2294200401,NES,Reptantia,Nephropidae,Nephropsis,stewarti
Indian goatfish,,,1704120008,RFQ,Percoidei,Mullidae,parupeneus,indicus
Indian mackerel,,,1750101403,RAG,Scombroidei,Scombridae,Rastrelliger,kanagurta
Indian nylon shrimp,Indian nylon shrimp,,2280400509,HPW,Natantia,Pandalidae,Heterocarpus,woodmasoni
Indian oil sardine,,,1210501204,IOS,Clupeiformes,Clupeidae,sardinella,longiceps
Indian squid,,,3210400111,OJD,Cephalopoda,Loliginidae,Uroteuthis (Photololigo),duvauceli
Indian white prawn,red legged banana prawn,,2280100125,PNI,Natantia,Penaeidae,Penaeus,indicus
Indo-Pacific king mackerel,,,1750101504,GUT,Perciformes,Scombridae,Scomberomorus,guttatus
Indo-Pacific sailfish,,,1750300402,SFA,Scombroidei,Istiophoridae,Istiophorus,platypterus
Indo-Pacific swamp crab,,,2311114001,MUD,Brachyura,Portunidae,Scylla,serrata
,Indonesian snapper,,"",FS-98,Perciformes,Lutjanidae,Lutjanus,bitaeniatus
Inshore squids nei,(multispecies),,32104XXXXX,SQZ,Cephalopoda,Loliginidae,"",""
Island grouper,,,1700204011,MKF,Percoidei,Serranidae,Mycteroperca,fusca
"Jacks, crevalles nei",,,17023044XX,TRE,Perciformes,Carangidae,Caranx,spp
,Jaguar round crab,,2311005101,JLA,Brachyura,Xanthidae,Xantho,poressa
Japanese abalone,Japanese abalone,,3070300108,ABJ,Gastropoda,Haliotidae,Haliotis,discus
Japanese amberjack,,,1702304802,AMJ,Percoidei,Carangidae,Seriola,quinqueradiata
Japanese anchovy,,,1210600202,JAN,Clupeiformes,Engraulidae,engraulis,japonicus
Japanese carpet shell,"Japanese littleneck clam, Manila clam",,3161102002,CLJ,Bivalvia,Veneridae,Ruditapes,philippinarum
Japanese eel,,,1430200204,ELJ,Anguilliformes,Anguillidae,Anguilla,japonica
Japanese flying squid,Japanese Common Squid,,3210505803,SQJ,Cephalopoda,Ommastrephidae,todarodes,pacificus
Japanese flyingfish,,,1470401002,JFL,Beloniformes,Exocoetidae,cypselurus,agoo
Japanese grenadier anchovy,,,1210602605,ECA,Clupeiformes,Engraulidae,Coilia,nasus
Japanese hard clam,,,3161101701,HCJ,Bivalvia,Veneridae,Meretrix,lusoria
Japanese icefish,,,1230902502,SZM,Salmoniformes,Salangidae,Salangichthys,microdon
Japanese jack mackerel,,,1702300403,JJM,Perciformes,Carangidae,Trachurus,japonicus
Japanese scad,"Galunggong, Blue mackerel scad, Round scad",,1702304307,RSA,Percoidei,Carangidae,decapterus,maruadsi
Japanese seabass,,,1704929701,BAJ,Percoidei,Percichthyidae,Lateolabrax,japonicus
Japanese seabream,Red seabream,,1703919116,REV,Perciformes,Sparidae,Pagrus,major
Japanese squid,,,3210400114,OJJ,Cephalopoda,Loliginidae,Loligo,japonica
Japanese threadfin bream,,,1703318404,NNJ,Percoidei,Nemipteridae,nemipterus,japonicus
Jawla paste shrimp,,,2280700902,EKN,Natantia,Sergestidae,Acetes,indicus
Jinga shrimp,,,2280101602,MTJ,Decapoda,Penaeidae,Metapenaeus,affinis
Jobfishes nei,Jobfishes nei,,17032217XX,LWX,Percoidei,Lutjanidae,Pristipomoides,spp.
John dory,,,1620100101,JOD,Zeiformes,Zeidae,zeus,faber
Jonah crab,,,2310901007,CRJ,Brachyura,Cancridae,cancer,borealis
Juan Fernandez rock lobster,,,2290100202,LOF,Reptantia,Palinuridae,jasus,frontalis
Jumbo flying squid,,,3210502301,GIS,Cephalopoda,Ommastrephidae,dosidicus,gigas
Kadal shrimp,,,2280101608,MPD,Decapoda,Penaeidae,Metapenaeus,dobsoni
Kaluga,,,1170100502,AHM,Acipenseriformes,Acipenseridae,Huso,dauricus
Kamchatka flounder,,,1830200802,KAF,Pleuronectiformes,Pleuronectidae,atheresthes,evermanni
Kangaroo shrimp,,,2283100101,GFU,Natantia,Pasiphaeidae,Glyphus,marsupialis
Kaup's arrowtooth eel,,,1431803901,SSK,Anguilliformes,Synaphobranchidae,Synaphobranchus,kaupii
Kawakawa,"Little tuna, Mackerel Tuna",,1750102406,KAW,Scombroidei,Scombridae,Euthynnus,affinis
Kiddi shrimp,"Sungta, karikkadi shrimp",,2280101901,NAY,Decapoda,Penaeidae,Parapenaeopsis,stylifera
King mackerel,"Kingfish, Kings",,1750101506,KGM,Scombroidei,Scombridae,scomberomorus,cavalla
King weakfish,,,1703709601,WKK,Percoidei,Sciaenidae,macrodon,ancylodon
King's littleneck,,,3161100201,AYQ,Venerida,Veneridae,Ameghinomya,antiqua
Kingklip,,,1580200105,KCP,Ophidiiformes,Ophidiidae,Genypterus,capensis
Kisslip cuttlefish,,,3210200221,EIY,Cephalopoda,Sepiidae,Sepia,lycidas
Kitefin shark,,,1090101801,SCK,Squaliformes,Squalidae,Dalatias,licha
Klein's sole,,,1830309201,KSY,Pleuronectiformes,Soleidae,Synapturichthys,kleinii
Knife shrimp,Pink prawn ,,2282907301,KNS,Natantia,Solenoceridae,haliporoides,triarthrus
Knobby swimcrab,,,2311101001,MQL,Brachyura,Portunidae,Macropipus,tuberculatus
Kolibri shrimp,camarón fidel,,2282907201,SOK,Natantia,Solenoceridae,Solenocera,agassizii
Korean rockfish,,,1780100128,SFL,Scorpaeniformes,Scorpaenidae,Sebastes,schlegeli
Kuruma prawn,,,2280100109,KUP,Natantia,Penaeidae,Penaeus,japonicus
Labrus wrasses nei,,,17063005XX,WRX,Percoidei,Labridae,Labrus,spp
Lake chub,,,1400209801,UEP,Cypriniformes,Cyprinidae,couesius,plumbeus
Lake sturgeon,,,1170100107,AAF,Acipenseriformes,Acipenseridae,acipenser,fulvescens
Lake trout,Char,,1230101007,LAT,Salmoniformes,Salmonidae,salvelinus,namaycush
Lake whitefish,Common whitefish,,1231200112,WHL,Salmoniformes,Coregonidae,Coregonus,clupeaformis
Lamarck's razor shell,,,3161600313,ONK,Bivalvia,Solenidae,Solen,lamarckii
